0.00000000,-1.63221344
104.58767290,3.22918692
224.80189054,-1.14273375
362.97743001,-3.62114201
521.79790965,-4.27198871
704.34790983,-3.63609038
914.17288101,-0.07175677
1155.34800284,3.98622597
1432.55733147,-2.41193601
1751.18477235,-1.25189107
2117.41864548,-4.62514143
2538.37187364,3.93607299
3022.22012828,-4.96753357
3578.36061576,-0.59074314
4217.59458808,-0.05489018
4952.33712269,-0.21215766
5796.85824570,-2.83712239
6767.56008152,0.64212262
7883.29541175,2.49515520
9165.73383021,4.50956180
10639.78260555,0.19025274
12334.07042541,3.24193525
14281.50341712,1.99103093
16519.90424416,3.89702845
19092.74669051,-3.93756320
22050.00000000,4.28981990
